Name of State / UT,Confirmed_Counts
Andaman And Nicobar Islands,456
Andhra Pradesh,470
Arunachal Pradesh ,448
Assam ,450
Bihar ,458
Chandigarh,463
Chhattisgarh ,463
Dadra And Nagar Haveli ,2
Delhi,480
Goa ,456
Haryana,478
Himachal Pradesh ,461
Jammu and Kashmir,473
Jharkhand ,450
Karnataka,473
Kerala,512
Lakshadweep ,196
Madhya Pradesh ,461
Maharashtra,473
Manipur ,458
Meghalaya ,437
Mizoram ,457
Nagaland ,404
Odisha,466
Punducherry,464
Punjab,473
Rajasthan,479
Sikkim ,397
Telengana,54
Tamil Nadu,475
Tripura ,444
Uttar Pradesh,478
Uttarakhand,467
West Bengal ,464
Ladakh,475
Gujarat,462
