District,Date,TAC
Alipurduar,30-07-2020,100
Coochbehar,30-07-2020,158
Darjeeling,30-07-2020,578
Kalimpong,30-07-2020,13
Jalpaiguri,30-07-2020,350
Uttar Dinajpur,30-07-2020,389
Dakshin Dinajpur,30-07-2020,297
Malda,30-07-2020,366
Murshidabad,30-07-2020,230
Nadia,30-07-2020,278
Birbhum,30-07-2020,151
Purulia,30-07-2020,63
Bankura,30-07-2020,266
Jhargram,30-07-2020,0
Paschim Medinipur,30-07-2020,316
Purba Medinipur,30-07-2020,388
Purba Bardhaman,30-07-2020,299
Paschim Bardhaman,30-07-2020,282
Howrah,30-07-2020,1956
Hooghly,30-07-2020,945
North 24 Parganas,30-07-2020,4749
South 24 Parganas,30-07-2020,1304
Kolkata,30-07-2020,6422
Alipurduar,30-08-2020,723
Coochbehar,30-08-2020,715
Darjeeling,30-08-2020,756
Kalimpong,30-08-2020,55
Jalpaiguri,30-08-2020,700
Uttar Dinajpur,30-08-2020,292
Dakshin Dinajpur,30-08-2020,512
Malda,30-08-2020,587
Murshidabad,30-08-2020,720
Nadia,30-08-2020,963
Birbhum,30-08-2020,626
Purulia,30-08-2020,578
Bankura,30-08-2020,547
Jhargram,30-08-2020,40
Paschim Medinipur,30-08-2020,1545
Purba Medinipur,30-08-2020,1403
Purba Bardhaman,30-08-2020,416
Paschim Bardhaman,30-08-2020,868
Howrah,30-08-2020,1274
Hooghly,30-08-2020,992
North 24 Parganas,30-08-2020,4979
South 24 Parganas,30-08-2020,1397
Kolkata,30-08-2020,4969
Alipurduar,30-09-2020,489
Coochbehar,30-09-2020,696
Darjeeling,30-09-2020,640
Kalimpong,30-09-2020,153
Jalpaiguri,30-09-2020,509
Uttar Dinajpur,30-09-2020,418
Dakshin Dinajpur,30-09-2020,398
Malda,30-09-2020,453
Murshidabad,30-09-2020,671
Nadia,30-09-2020,943
Birbhum,30-09-2020,499
Purulia,30-09-2020,630
Bankura,30-09-2020,628
Jhargram,30-09-2020,188
Paschim Medinipur,30-09-2020,11271
Purba Medinipur,30-09-2020,1055
Purba Bardhaman,30-09-2020,586
Paschim Bardhaman,30-09-2020,817
Howrah,30-09-2020,1405
Hooghly,30-09-2020,1174
North 24 Parganas,30-09-2020,5689
South 24 Parganas,30-09-2020,1891
Kolkata,30-09-2020,5273
Alipurduar,30-10-2020,369
Coochbehar,30-10-2020,976
Darjeeling,30-10-2020,1434
Kalimpong,30-10-2020,116
